"character","arrival_total","arrival_applicants","arrival_spouses","arrival_children"
"     Total","60,108","25,355","10,406","24,347"
"Under 1 year","404","11","-","393"
"1 to 4 years","4,967","74","-","4,893"
"5 to 9 years","6,309","157","-","6,152"
"10 to 14 years","6,059","288","-","5,771"
"15 to 19 years","6,708","1,161","86","5,461"
"20 to 24 years","6,619","4,180","850","1,589"
"25 to 29 years","5,887","4,114","1,720","53"
"30 to 34 years","5,019","3,252","1,745","22"
"35 to 39 years","4,446","2,832","1,608","6"
"40 to 44 years","3,612","2,284","D","D"
"45 to 49 years","2,932","1,875","D","D"
"50 to 54 years","2,068","1,386","D","D"
"55 to 59 years","1,600","1,107","493","-"
"60 to 64 years","1,212","864","348","-"
"65 to 74 years","1,604","1,204","400","-"
"75 years and over","662","566","96","-"
