Age,arrival_total, arrival_applicants,arrival_spouses,arrival_children
Total,"84,989","31,563","12,526","40,900"
<1 Years,323,4,-,319
1-4 Years,"9,678",129,-,"9,549"
5-9 Years,"11,900",139,-,"11,761"
10-14 Years,"10,364",388,-,"9,976"
15-19 Years,"8,632","1,272",108,"7,252"
20-24 Years,"8,148","5,067","1,114","1,967"
25-29 Years,"7,851","5,400","2,389",62
30-34 Years,"7,700","5,064","2,631",5
35-39 Years,"5,960","3,922","2,033",5
40-44 Years,"4,355","2,949","1,406",-
45-49 Years,"3,137","2,165",D,D
50-54 Years,"2,228","1,590",D,D
55-59 Years,"1,573","1,081",492,-
60-64 Years,"1,234",882,352,-
65-69 Years,"1,435","1,104",331,-
>75 Years,471,407,64,-
