Characteristic,arrival_total_2007,arrival_applicants_2007,arrival_spouses_2007,arrival_children_2007
     Total,"48,217","19,911","7,414","20,892"
Male,"25,201","12,634","1,544","11,023"
Female,"23,016","7,277","5,870","9,869"
Under 1 year,349,17, -   ,332
1 to 4 years,"4,112",150, -   ,"3,962"
5 to 9 years,"5,132",199, -   ,"4,933"
10 to 14 years,"5,102",329, -   ,"4,773"
15 to 19 years,"6,458","1,280",137,"5,041"
20 to 24 years,"6,137","3,623",759,"1,755"
25 to 29 years,"4,400","3,141","1,181",78
30 to 34 years,"3,658","2,429","1,216",13
35 to 39 years,"3,129","2,011","1,113",5
40 to 44 years,"2,456","1,595",861, -   
45 to 49 years,"2,093","1,342",751, -   
50 to 54 years,"1,459",974,485, -   
55 to 59 years,"1,306",908,398, -   
60 to 64 years,886,648,238, -   
65 to 74 years,"1,125",900,225, -   
75 years and over,415,365,50, -   
Under 16 years,"15,800",790, -   ,"15,010"
16 to 20 years,"6,795","1,661",238,"4,896"
21 years and over,"25,622","17,460","7,176",986
Single,"28,739","7,862",32,"20,845"
Married   ,"17,101","9,700","7,377",24
Widowed   ,"1,448","1,448", -   , -   
Divorced/separated,898,882,3,13
Unknown   ,31,19,2,10
