Age,Total,Applicants,Spouses,Children
Total,"11,729","8,943","1,186","1,600"
< 1 Years,-,-,-,-
1-4 Years,250,22,-,228
5-9 Years,680,184,-,496
10-14 Years,"1,246",814,-,432
15-19 Years,"2,797","2,489",-,308
20-24 Years,798,630,D,D
25-29 Years,"1,328","1,144",D,D
30-34 Years,"1,402","1,114",288,-
35-39 Years,"1,072",838,234,-
40-44 Years,809,640,169,-
45-49 Years,556,436,120,-
50-54 Years,326,261,65,-
55-59 Years,188,149,39,-
60-64 Years,110,92,18,-
65-69 Years,130,98,32,-
>75 Years,37,32,5,-
