"character","arrival_Total","arrival_applicants","arrival_spouses","arrival_children","asylum_total","asylum_applicants","asylum_spouses","asylum_children"
"Total","84,989","31,563","12,526","40,900","11,729","8,943","1,186","1,600"
"Female","41,728","11,872","10,159","19,697","5,438","4,063","591","784"
"Male","43,261","19,691","2,367","21,203","6,291","4,880","595","816"
"<1 Years","323","4","-","319","-","-","-","-"
"1-4 Years","9,678","129","-","9,549","250","22","-","228"
"5-9 Years","11,900","139","-","11,761","680","184","-","496"
"10-14 Years","10,364","388","-","9,976","1,246","814","-","432"
"15-19 Years","8,632","1,272","108","7,252","2,797","2,489","-","308"
"20-24 Years","8,148","5,067","1,114","1,967","798","630","D","D"
"25-29 Years","7,851","5,400","2,389","62","1,328","1,144","D","D"
"30-34 Years","7,700","5,064","2,631","5","1,402","1,114","288","-"
"35-39 Years","5,960","3,922","2,033","5","1,072","838","234","-"
"40-44 Years","4,355","2,949","1,406","-","809","640","169","-"
"45-49 Years","3,137","2,165","D","D","556","436","120","-"
"50-54 Years","2,228","1,590","D","D","326","261","65","-"
"55-59 Years","1,573","1,081","492","-","188","149","39","-"
"60-64 Years","1,234","882","352","-","110","92","18","-"
"65-69 Years","1,435","1,104","331","-","130","98","32","-"
">75 Years","471","407","64","-","37","32","5","-"
"<16 Years","34,113","801","-","33,312","2,547","1,330","-","1,217"
"16-20 Years","8,613","1,741","275","6,597","2,645","2,345","3","297"
">21 Years","42,263","29,021","12,251","991","6,537","5,268","1,183","86"
"Married 1","28,242","15,712","12,521","9","3,912","2,726","1,186","-"
"Single 2","52,578","11,694","5","40,879","7,421","5,821","-","1,600"
"Widowed","2,253","D","-","D","109","109","-","-"
"Divorced/separated","1,907","1,898","-","9","275","275","-","-"
"Unknown","9","D","-","D","12","12","-","-"
